epoch,accuracy,loss,val_accuracy,val_loss
0,0.7933579087257385,0.46314722299575806,0.9850746393203735,0.06205926835536957
1,0.9630996584892273,0.0977465882897377,1.0,0.022519586607813835
2,0.9815497994422913,0.05882272124290466,1.0,0.018487252295017242
3,0.9926199316978455,0.05176864191889763,1.0,0.00816528033465147
4,0.9926199316978455,0.03899673745036125,0.9850746393203735,0.026627473533153534
5,1.0,0.03534447401762009,1.0,0.0034652326721698046
6,0.9926199316978455,0.03247719630599022,1.0,0.006505223922431469
7,0.9889298677444458,0.03910164535045624,1.0,0.005962053779512644
8,0.9963099360466003,0.02006579376757145,1.0,0.005499402526766062
9,0.9889298677444458,0.0332317017018795,1.0,0.005231865681707859
10,1.0,0.016212284564971924,1.0,0.008984607644379139
11,0.9963099360466003,0.016555657610297203,1.0,0.010170364752411842
12,0.9963099360466003,0.015743950381875038,1.0,0.008169983513653278
13,1.0,0.012273909524083138,1.0,0.008694948628544807
14,0.9963099360466003,0.030187472701072693,1.0,0.005305408500134945
15,1.0,0.010085415095090866,1.0,0.00678230170160532
0,0.5904058814048767,0.9210662841796875,0.8059701323509216,0.5001537203788757
1,0.785977840423584,0.4891957640647888,0.9104477763175964,0.30105769634246826
2,0.8708487153053284,0.2840087413787842,0.9104477763175964,0.22075200080871582
3,0.9077490568161011,0.21519969403743744,0.9850746393203735,0.10051964968442917
4,0.9335793256759644,0.17789684236049652,1.0,0.05973504111170769
5,0.9261992573738098,0.17432436347007751,1.0,0.05083393305540085
6,0.9667896628379822,0.11438855528831482,1.0,0.05253267288208008
7,0.9704797267913818,0.10506780445575714,1.0,0.036087654531002045
8,0.9667896628379822,0.10278275609016418,1.0,0.028636323288083076
9,0.9815497994422913,0.0782729834318161,1.0,0.021447891369462013
10,0.9704797267913818,0.09264656901359558,0.9850746393203735,0.03709004819393158
11,0.9594095945358276,0.09840457886457443,1.0,0.02530362270772457
12,0.9815497994422913,0.08609447628259659,1.0,0.01602461375296116
13,0.9630996584892273,0.09187126904726028,1.0,0.0203960370272398
14,0.9778597950935364,0.08152773976325989,1.0,0.011342480778694153
15,0.9815497994422913,0.07923682034015656,1.0,0.01372105348855257
16,0.9704797267913818,0.09736013412475586,1.0,0.010971738025546074
17,0.9889298677444458,0.05912608280777931,1.0,0.013167987577617168
18,0.9963099360466003,0.03809235244989395,1.0,0.013183629140257835
19,0.9963099360466003,0.04018716141581535,0.9850746393203735,0.026666130870580673
20,0.9852398633956909,0.060765594244003296,1.0,0.014264490455389023
21,0.9815497994422913,0.06041979417204857,1.0,0.01037693489342928
22,0.9741697311401367,0.07157207280397415,1.0,0.008813298307359219
23,0.9815497994422913,0.0469515360891819,1.0,0.009754148311913013
24,0.9778597950935364,0.07410558313131332,1.0,0.00980285368859768
25,0.9926199316978455,0.04127213731408119,1.0,0.007697251159697771
26,0.9889298677444458,0.02974523976445198,1.0,0.010674898512661457
27,1.0,0.03211355209350586,1.0,0.005456126295030117
28,1.0,0.020887423306703568,1.0,0.005524804349988699
29,0.9963099360466003,0.029392896220088005,1.0,0.011041718535125256
30,0.9926199316978455,0.030562151223421097,1.0,0.010074520483613014
31,0.9889298677444458,0.04069458320736885,1.0,0.007547390181571245
32,0.9778597950935364,0.0627128854393959,1.0,0.007453972473740578
33,0.9889298677444458,0.039298977702856064,1.0,0.0039463285356760025
34,0.9704797267913818,0.06859572976827621,1.0,0.008703787811100483
35,1.0,0.02421126700937748,1.0,0.004679878242313862
36,0.9815497994422913,0.07096932083368301,1.0,0.0077268206514418125
37,1.0,0.01954268105328083,1.0,0.013582974672317505
38,0.9963099360466003,0.018809475004673004,0.9850746393203735,0.02608870156109333
39,0.9926199316978455,0.04031168296933174,1.0,0.00548583222553134
40,0.9741697311401367,0.0677182674407959,1.0,0.012247343547642231
41,0.9926199316978455,0.034003205597400665,1.0,0.017341218888759613
42,0.9963099360466003,0.022811245173215866,1.0,0.012698806822299957
43,0.9889298677444458,0.03070828504860401,1.0,0.01436646468937397
0,1.0,0.0,1.0,0.0
1,1.0,0.0,1.0,0.0
2,1.0,0.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,1.0,0.0,1.0,0.0
5,1.0,0.0,1.0,0.0
6,1.0,0.0,1.0,0.0
7,1.0,0.0,1.0,0.0
8,1.0,0.0,1.0,0.0
9,1.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0
0,0.17343173921108246,2.4084384441375732,0.23880596458911896,1.93386709690094
1,0.2287822812795639,2.1387827396392822,0.3283582031726837,1.6901170015335083
2,0.41697415709495544,1.57417631149292,0.46268656849861145,1.4393763542175293
3,0.4833948314189911,1.432450532913208,0.5223880410194397,1.3766828775405884
4,0.5129151344299316,1.3092869520187378,0.6268656849861145,1.105655312538147
5,0.5424354076385498,1.1457406282424927,0.641791045665741,1.0462197065353394
6,0.5977859497070312,1.1040172576904297,0.7164179086685181,1.0055749416351318
7,0.6420664191246033,1.00367271900177,0.7313432693481445,0.9046558737754822
8,0.6642066240310669,0.9531497955322266,0.7910447716712952,0.7941758036613464
9,0.7084870934486389,0.8861244320869446,0.7611940503120422,0.7782669067382812
